source_reason,url,last_crawl,classification,rationale
404,https://agecalc.cloud/blog/2026-man-age-guide,2026-08-17,관찰,현재 콘텐츠 청사진에는 있으나 운영 발행 DB 조건을 충족하지 않아 404; 발행 의도 확인 필요
404,https://agecalc.cloud/blog/2026년-aibio와-장수-생태계의-핵심-rejuve-디지털-항노화-플랫폼,2026-06-24,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/ai-기반-솔루션으로-생활습관병-관리에-도전하는-새로운-시도,2026-06-01,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/ai-기술로-아이의-언어-발달을-확인하는-새로운-육아법,2026-07-23,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/ai-시대-기업-정신건강-전략의-새로운-방향성-2026-apear-국제-콘퍼런스,2026-06-24,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/ai-육아앱-쑥쑥찰칵의-새로운-아기-수면-예측-기능-살펴보기,2026-06-20,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/ai-피부-분석-기기로-더욱-세밀해진-눈가-케어-시대,2026-06-10,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/ai로-아이의-언어발달을-체크하는-엄마의-변화하는-육아법,2026-06-14,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/fatty15-건강-에이징-구미-정말-효과가-있을까,2026-06-05,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/fatty15-건강하게-나이-들기-위한-구미의-효과와-특징,2026-07-04,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/happiest-her-2026-서밋-여성-웰니스에-초점을-맞추다,2026-06-15,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/kaist-rnasek-단백질의-장수-유도-역할-규명,2026-06-17,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/kaist-연구진-노화-억제와-수명-연장-핵심-단백질-rnasek-발견,2026-06-18,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/kaist-연구진-노화-지연에-관여하는-효소-rnasek-발견,2026-06-20,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/mri와-ai로-알아보는-내-뇌-나이-건강-관리의-새로운-방향,2026-06-07,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/강북구-건강하고-활기찬-노후-위한-어르신-프로그램-운영,2026-06-17,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/강아지와-고양이-나이에-따른-주요-질병-관리법과-예방-전략,2026-07-24,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/강아지와-고양이의-노년기-이해하기-나이별-건강-관리와-주의-질환,2026-06-29,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/건강한-노년을-위한-합리적인-도구-키트-구축하기,2026-06-10,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/건강한-노화를-향한-혁신-연구-arpa-h와-콜롬비아대의-협력,2026-06-22,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/건강한-삶의-연장-노화-연구의-새로운-전환점,2026-06-22,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/경기동물의료원-반려동물-재생의학-시대를-여는-줄기세포센터-개소,2026-06-22,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/경기동물의료원-줄기세포센터-개소로-반려동물-재생의학-시대-본격-개막,2026-06-11,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/고양이-건강-수명-연장-줄기세포-치료의-가능성-탐구,2026-06-21,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/고양이-건강-수명-연장을-위한-줄기세포-치료의-가능성,2026-06-01,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/국민운동가-윤현-백세-행복-골프-재단-추진으로-건강한-백세시대-앞장서다,2026-06-06,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/군산의료원-노인-건강수명-연장-위한-1400명-대상-건강강좌-진행,2026-06-16,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/그랜드래피즈-청소년-문제-해결을-위한-예방-프로그램-추진,2026-05-28,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/김지현-슬립베러베이비-대표가-말하는-데이터-기반-육아-잘-자는-기술의-중요성,2026-05-31,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/김천시보건소-어르신을-위한-찾아가는-건강관리-서비스-운영,2026-06-16,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/김천시보건소-어르신을-위한-찾아가는-건강서비스-운영,2026-06-30,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/노화-연구센터-교육의-날-행사-개최로-노화-이해-증진에-기여,2026-06-23,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/노화-연구의-현재와-미래-스웨덴-카롤린스카-연구소-arc의-교육-프로그램-탐색,2026-06-21,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/노화-유발-핵심-조절인자-확인과-수명-연장-연구의-현황,2026-06-22,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/노화-지연과-건강한-장수를-위한-열쇠-rnasek-연구,2026-07-05,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/노화는-숙명인가-세포-재설계로-나이-시계를-되돌리는-가능성,2026-05-30,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/미국-arpa-h-대형-계약으로-가속되는-노화-연구-현황,2026-06-23,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/미래-건강을-위한-노화-억제-연구-arpa-h의-1억-4400만-달러-투자와-시사점,2026-05-27,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/반려동물-건강검진-부담-낮추는-수원시-지원-사업-우리-생활에도-꼭-필요한-이유,2026-06-18,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/반려동물-건강을-위한-사료-선택의-중요성-10년-이상-검증된-프리미엄-사료의-인기-이유,2026-06-07,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/반려동물-림프종-강아지와-고양이에서-다르게-나타나는-이유와-관리법,2026-06-23,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/반려동물-역노화-시대-노화와-영양-콘퍼런스가-열리다,2026-06-06,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/반려동물-역노화-시대-노화와-영양-콘퍼런스가-제시하는-가능성,2026-07-03,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/반려동물의-역노화-가능성-노화와-영양-콘퍼런스에서-논의되다,2026-06-18,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/반려묘-의료-시장의-성장과-고양이-집사들의-변화,2026-06-30,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/배당금-계산-시-주의해야-할-위험-요소와-효과적인-예방-전략,2026-06-22,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/백세-시대-운동과-건강-증진을-위한-새로운-사회적-도전-백세-행복-골프-재단,2026-06-22,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/보령시-설렘에서-만남까지-건강한-출산-지원-프로그램-운영,2026-06-06,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/보령시-임신부-맞춤-출산-준비교실과-베이비-마사지-프로그램-운영,2026-06-14,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/보령시와-함께하는-건강한-출산-여정-설렘에서-만남까지,2026-06-16,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/생물학적-나이와-실제-나이-차이-줄이면-당뇨병-위험-낮출-수-있다,2026-06-22,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/생활습관-변화에도-계속되는-암-위험-전문가들이-말하는-예방의-중요성,2026-06-26,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/서울대수의통합의학연구센터-펫리퍼블릭애니바이옴과-업무협약-체결,2026-06-03,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/서울시-영유아-무료-발달검사-확대-우리-아이-성장-점검의-기회,2026-06-03,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/세계-비만의-날-2026-aiims-jammu가-주최한-비만-예방-및-건강한-생활습관-cme-행사,2026-06-29,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/세포-속-노화의-원인-원형-rna-발견과-그-의미,2026-06-14,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/송파구-간호사가-직접-방문하는-영유아-건강관리-사업-소개-3,2026-06-02,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/송파구-생애초기-건강관리-사업-확대-나서,2026-06-01,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/송파구-생애초기-건강관리-사업-확대-운영으로-주민-건강-증진-나선다,2026-06-07,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/송파구-생애초기-건강관리-확대-초보-부모-집으로-찾아가는-간호-서비스,2026-06-06,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/송파구-신생아-가정-방문-간호사-4배-확대-소식,2026-06-10,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/송파구-신생아-가정-방문-건강관리-서비스-확대-엄마와-아기의-건강-지키기,2026-06-30,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/송파구-신생아-가정방문-건강관리-서비스-확대,2026-06-16,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/송파구-신생아-가정방문-건강관리-서비스-확대-시행,2026-07-02,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/송파구-초보-부모-위한-생애초기-건강관리-서비스-확대-2,2026-06-18,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/숭의보건지소-시니어를-위한-힐링-스트레칭-교실-운영-소식,2026-06-14,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/시니어-척추-건강-증진을-위한-전문가-협업-세미나-개최,2026-06-15,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/아동-발달-단계별-생성형-ai의-장점과-위험성-이해하기,2026-06-18,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/어르신-맞춤형-건강-돌봄-김천시-찾아가는-건강사업-이야기,2026-06-12,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/예측-건강-생활-습관-데이터가-예방-의학이-되는-시대,2026-06-16,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/완주군-어르신-대상-심뇌혈관질환-예방-교육-실시와-중요성,2026-06-30,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/완주군-어르신-대상-심뇌혈관질환-예방-및-관리-교육-실시,2026-06-16,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/우리-아이-발달의-골든타임-6세-이전-뇌-성장의-중요성,2026-06-27,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/육아-정보-홍수-시대-11-간호사-매칭-일루맘-클럽의-역할과-가치,2026-06-14,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/육아-정보-홍수-시대-11-맞춤-간호사-매칭-서비스-일루맘-클럽-소개,2026-06-08,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
404,https://agecalc.cloud/blog/의왕시-건강한-모유수유아-그-중요성과-지역사회-지원-현황,2026-07-04,의도,현재 공개 청사진에 없는 과거 자동 생성 블로그 글
